X,Y,objectid,reg_no,part,act,year,section,sdesc,desc_,feat_num,test,keyval,tpo_ref,tree_ref,amended
430969.257,380962.331,69816,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T7,6206,1,A943,808/240,T7,
430984.083,380967.276000001,69817,7579,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/240        : T8,6206,1,A944,808/240,T8,
440529.605,386695.748,69818,1806,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/105        : T6,6206,1,A945,808/105,T6,
432506.639,390659.533,69819,1869,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/103        : T19,6206,1,A946,808/103,T19,
432512.31,390663.989,69820,1869,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/103        : T18,6206,1,A947,808/103,T18,
442740.848,380629.684,69821,7596,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/241a      : T4,6206,1,A948,808/241,T4,a
442748.349,380612.48,69822,7596,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/241a      : T3,6206,1,A949,808/241,T3,a
442777.373,380612.067,69823,7596,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/241a      : T2,6206,1,A950,808/241,T2,a
442820.024,380613.662,69824,7596,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/241a      :,6206,1,A951,808/241,,a
442847.395,380614.617000001,69825,7596,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/241a      : T1,6206,1,A952,808/241,T1,a
434593.142,381217.51,69826,1747,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/47          :,6206,1,A953,808/47,,
434592.72,381211.272,69827,1747,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/47          :,6206,1,A954,808/47,,
434588.077,381199.182,69828,1747,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/47          :,6206,1,A955,808/47,,
434577.897,381195.540999999,69829,1747,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/47          : T2,6206,1,A956,808/47,T2,
430568.823,384352.189999999,69830,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T14,6207,1,A987,808/249,T14,
433851.655,385532.814999999,69831,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T15,6207,1,A988,808/235,T15,
433851.486,385528.563999999,69832,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T16,6207,1,A989,808/235,T16,
433851.392,385523.414999999,69833,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T17,6207,1,A990,808/235,T17,
433850.835,385514.961999999,69834,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T18,6207,1,A991,808/235,T18,
433850.577,385511.055,69835,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T19,6207,1,A992,808/235,T19,
443879.905,381363.046,69836,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T1,6207,1,A993,808/237,T1,a
443942.305,381327.686000001,69837,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T2,6207,1,A994,808/237,T2,a
443941.855,381299.754000001,69838,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T3,6207,1,A995,808/237,T3,a
443939.857,381206.057,69839,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T4,6207,1,A996,808/237,T4,a
443933.303,381210.069,69840,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T5,6207,1,A997,808/237,T5,a
430567.482,384347.836999999,69841,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T13,6207,1,A998,808/249,T13,
430599.61,384373.721000001,69842,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T17,6207,1,A999,808/249,T17,
430636.524,384365.255999999,69843,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T8,6207,1,A1000,808/249,T8,
430647.694,384406.305,69844,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T18,6209,1,A1001,808/249,T18,
430633.34,384359.378,69845,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T10,6209,1,A1002,808/249,T10,
430580.563,384364.026000001,69846,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T16,6209,1,A1003,808/249,T16,
430619.252,384337.941,69847,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T2,6209,1,A1004,808/249,T2,
430626.236,384343.398,69848,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T5,6209,1,A1005,808/249,T5,
430632.973,384344.869000001,69849,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T6,6209,1,A1006,808/249,T6,
430626.97,384338.376,69850,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T3,6209,1,A1007,808/249,T3,
430619.009,384342.786,69851,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T4,6209,1,A1008,808/249,T4,
430614.232,384338.620999999,69852,8231,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/249        : T1,6209,1,A1009,808/249,T1,
