objectid,site_name,alias_name,site_type,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_Length,shape_Area
332,Rokeby Road/Colley Road,,Open Space,{658CA06B-D47F-479A-AB5D-B38FBB23A668},,,,,273.194218405819,2450.29200240179
333,Tongue Gutter ,,Open Space,{595026CC-8FF7-4DB8-BF7D-E9A5BEBB9712},,,,,4574.50790928967,165365.654271002
334,Wolfe Road Open Space,Wolfe Road Park,Open Space,{E6E1FCED-ED90-42C1-B51D-E190774A3E6B},,,,,577.395834468276,10401.6358265952
335,Wordsworth Avenue/Rokeby Road,,Open Space,{81F1FCC4-5244-46D0-87F1-5805CFC05569},,,,,357.169654876605,3786.96930440231
336,Yew Lane/Halifax Road,,Open Space,{A672786B-8E28-4FAD-A92C-856DB61F9BA6},,,,,941.607958124817,14827.9149735931
337,Parkwood Springs North,,Park,{E10C480E-F406-4223-8A37-2FD20466FAA2},,,,,2277.78520225478,227593.615955133
338,Buchanan Crescent Open Space,,Open Space,{7AB1BBA9-8EB9-4DAE-A704-9EF60B4C059E},,,,,203.807777207109,2220.88983572654
339,Busk Meadow Park,,Park,{A3DDF2B4-BB18-477B-91F7-0663772B63B1},,,,,979.706452255906,22353.4673829068
340,St. Aidans Playing Field,,Playing Field,{27604913-EB9C-40BE-9511-2B6711020BDB},,,,,633.517926177708,28024.33160079
341,Arbourthorne Playing Field,,Park,{D7BEC1E7-3338-47FE-9DE4-653A6F797323},,,,,1376.84826367486,80087.4363740198
342,Arbourthorne Pond,East Bank Road,Park,{5D8CA832-E4E7-44E4-9372-3ECECA451610},,,,,1041.79103936481,31830.0773549749
343,Gregory Road,,Open Space,{1A46DD3E-84F5-4F7C-8EF8-50087454E509},,,,,745.373033520578,12490.9424692167
344,Burncross Road Recreation Road,,Open Space,{3287745D-A413-4023-8752-214F9AA29868},,,,,550.875038790468,14450.6652970624
345,Addlington Road,,Open Space,{04AF926C-989D-4D86-B77B-1EC960ABF04E},,,,,1188.45936191739,72193.8566996273
