objectid,routecode,status_text,globalid
31116,SHE/676,Footpath,{D48FF405-B107-4791-ABE1-817C2C60FF9D}
31117,SHE/677,Footpath,{F60DABDC-D68A-4984-A5D1-9547CAD2BCD0}
31118,SHE/678,Footpath,{690B76E9-923E-4327-8C8E-851D6351056D}
31119,SHE/679,Footpath,{37ADF661-266D-4A46-AF9F-5164F2293ED5}
31120,SHE/680,Footpath,{9C68347C-B460-4199-9A5D-54E7CBF3F764}
31121,BRA/104,Footpath,{73B016E2-F8AD-430F-A620-984F4D055E48}
31122,BRA/60D,Footpath,{5F3C95B7-82EE-4BEA-976F-98E6096005B9}
31123,BEI/37,Footpath,{F85C72CA-FF9D-47DF-AEF7-DD636AEC1EB8}
31124,STO/30,Footpath,{6A3C529E-5EE0-484C-BF21-FC6F3EE79BB6}
31125,SHE/40,Footpath,{34249D4C-B17B-4B38-A188-E627DEE1E8D8}
31126,ECC/100,Footpath,{08078464-452D-40D9-82C7-99C8BEB61FBB}
31127,ECK/186,Footpath,{F6E9F65D-4239-42A0-8E36-9B4B9F4EE3DD}
31128,SHE/451,Footpath,{66FF8542-BDE4-4F1E-9CA0-CF9EBD296C22}
31129,SHE/PERMBW/12,Permissive Bridleway,{7E85698E-3315-4C41-971B-8EB9A3E53B04}
31130,SHE/643,Footpath,{03A72D83-AA6E-4CCD-A065-17CE82619C7D}
31132,SHE/73,Footpath,{D616BE60-0D8E-47EB-8999-B6393E0AFBAF}
31133,BEI/97,Footpath,{9302D63C-7C52-4049-B604-460489918EC5}
31134,SHE/202,Footpath,{F5A10582-A132-492E-9164-DE1FB81CF0B8}
31135,ECC/60,Footpath,{068AC935-3C2A-4F61-B509-CE9B3480B4D7}
31136,BRA/121,Footpath,{3A738C89-7FC2-48E6-AD65-4D8EA953FF4B}
31137,SHE/681,Footpath,{0D2A6884-F520-46D4-812D-686568C4AAE0}
31138,STO/13,Footpath,{A7CFF793-F637-4FD4-8910-1ED3848393F2}
31139,SHE/682,Footpath,{B5B7C260-FA8B-4E15-808F-BAAEB13C0A23}
31140,SHE/448,Footpath,{7364E158-3D14-4DAF-B9A1-D145EB5F8441}
31941,SHE/452,Footpath,{8B87F396-8A27-4AD1-8912-7521633D0C9F}
31942,SHE/PermBW/14,Permissive Bridleway,{620B9635-2E99-4738-B4C4-8E383EB50A98}
31943,SHE/690,Footpath,{CD79D73C-4C5C-47B3-8067-5EF12FF96922}
31945,SHE/629,Footpath,{6F516AA0-2D51-43D2-B11F-9F8EE0242E96}
31946,SHE/689,Footpath,{26199511-352B-4CEB-9645-D4DEC2A40129}
31948,SHE/688,Footpath,{42471792-9F73-401C-B04A-9F47C1C6489B}
32747,BRA/60B,Footpath,{7E437E0D-372C-49F7-843F-4C83D8CBC833}
32748,BRA/60B,Footpath,{EE1FB960-869B-4B02-BAB1-DCADA35EFAFD}
33146,SHE/691,Footpath,{51D2C6A0-6128-472A-9DCB-3B764E6778EC}
33546,SHE/407,Bridleway,{850BE082-B067-44DD-80E1-7091966F3A52}
33946,STO/PERMBW/1,Permissive Bridleway,{12DB8829-D1C6-4676-ADF3-F8BFAF2A87BE}
34346,STO/PERMBW/7,Permissive Bridleway,{F1EB34D2-115D-4B0C-B4B4-8F103DD8D35B}
34349,STO/PERMBW/8,Permissive Bridleway,{21E7A716-02DD-49F6-A328-1A1BC685E237}
